0, 71.00,DDDDDBEEEBBBDEEBCEBDEBBCBBECDCCBEEDCDCBCEBEEDBEDDC
1, 70.00,DBBBCCBCCEECCBEBEDCEDBDEECDEDEDBEBBEBBCCDDBDEBBCEB
2, 70.00,DDDBCCBECCDEEBCBEDEBEBBEBCDCDDEBBCEDBDEEDEDDBECCBC
3, 70.00,DDDBCCBECBEDEBDBDDEBCBECDDBDCBEBECBDEDEDCEDEECBBDB
4, 70.00,DDDBCCBECBEDEDDBDDEBCBECDDBDCBEBECBDEDEDCEDEECBCBC
5, 70.00,DDDBCCBECBEDEDDBDDEBCBECDDBDCBEEECBDEDEDCEDEECECCE
6, 70.00,DDDBCCBECBEDEBDBDDEBCBECDDBDCBEBECBDEDEDCDBCEBCDDB
7, 70.00,BBDDBCDBCDEEBDBCDCBEDDCBBBBEBDBEBCBBBCEDDDCCECDDDD
8, 70.00,BBDDBCDBBDEEBDDCBBEBCDEEDBBDDDEBEBBEBDEBDBDDDBCDBB
9, 70.00,BBCDBCBBEBCEEDCCDDCCDCBCBDDCBDCECDCCBBECECCDECCCBC
10, 72.00,DDDBBEEBBBCBEBEECECCEDBBDECEBCDDDEBECEDBCBEBEECECE
